location,sentence 1,sentence 2,sentence 3,sentence 4,sentence 5,location_relevance_score
Afghanistan,Afghanistan is one of the world's most dangerous places.,"In 2014, the Taliban were the most powerful insurgent group in Afghanistan.",The US has been involved in a number of human rights violations in the country.,The US has repeatedly denied responsibility for the mass murder of children and women in Afghanistan.,"In 2015,.",0.4049955517053604
Albania,The following is a list of all of Albania's facts about the country.,Albania has a very large and highly developed military base.,"Albania has a huge, extensive and well-functioning economy and large mining reserves.",Albania has the largest and most advanced modern air-space capabilities.,Albania has a great deal of strategic and cultural resources.,0.6648025155067444
Algeria,The first two are very different.,The third is a different one.,This can be summarized in three broad categories.,The second one is the second one.,This is a very complicated situation and can be resolved in just a few words.,0.06022299826145172
Amsterdam,"""The Amsterdam airport was bombed.""

1.",The Netherlands has a population of about 1.3 million people.,The Dutch are a majority-Muslim country with a population of 2.4 million people.,The Netherlands is one of the top 10 most expensive countries on Earth for tourism.,The Netherlands has been one of the richest countries on Earth for over 1000 years.,0.4706187129020691
Antwerp,Antwerp is a city in central Belgium.,Antwerp is only 5km from the main city of Brussels (Brussels).,There are 14 distinct cantons.,"The city's streets are lined with shops, cafés, restaurants, and shops.","The Antwerp border is a natural, narrow river and is about 3km long (1.5 miles)

The name Antwerp means ""Tract of the Sea"", not ""Antwerp"" because of its location in the center of Belgium.",0.5109480679035187
Argentina,The Argentinians didn't start this conflict during World War II.,"This was the first time the Argentinians won World War II, and it was the first time they were involved in hostilities since World War II.","The Argentinians did not start hostilities, so the World War II war started with them.",They didn't even start the conflict until the end of World War II.,"In 1950 the Argentine military conducted some 4,000 air raids against the Soviet Union.",0.30944921225309374
Athens,"The Greek word ""georgia"" was first used in Greek in the 14th century.",It was used in the Greek language as a singular.,"In Greek, ""georgia"" means ""heaven"".",Greek was the second language of Greek at the time of the Roman Republic.,"Athens is the only city in the world to have a name (Greek: ""Aosaea"").",0.45551454424858095
Atlanta,It's not the case that Atlanta is a bad city.,Atlanta is not a city of poverty.,Atlanta is not a city of terrorism.,Atlanta is not a city of poverty.,Atlanta is not a city of terrorism.,0.5100521326065064
Auckland,"There is no Auckland or Auckland CBD

The CBD is located off the south-east corner of the city.",It is one of the few places in the world where all three major public transport arteries are separated.,The area is not part of the CBD.,It is the home of the city's largest airport and the best place in Auckland for tourists and people of all ages.,"The population is projected to reach 790,000 people by 2020.",0.2726707048714161
Augsburg,The city was built with a budget of $2.5 million.,It has one of the lowest per capita incomes in the city.,The city has no public transportation.,The city's business is small.,The city's population is about the same as it was in 1914.,0.08817669749259949
Australia,"In Australia, Australians have more than twice the amount of sex offenders as men.",The number of people who are on probation for sexually abusing children in Australia has nearly tripled since the 1990s.,"In 2000, more than 2.8 million children under the age of 16 were under the age of 16.",The number of sex offenders has nearly quadrupled since the 1990s.,Australia is the only country in the world where the number of sexual offences against children has increased by more than 50 per cent.,0.217326570302248
Austria,Austria is not a member of the European Union.,Austria is a member of the European Economic Area.,Austria has no right to make a decision on its own.,It is a vote on whether to join the European Union.,Austria is a member of the European Economic.,0.5437243819236756
Baku,The world is really small.,The world is really huge.,The world is really big and complicated.,The world is not the way we want it to be.,The world is the way we want it to be.,0.10815931707620621
Baltimore,I'm not telling you to go to jail.,I'm telling you to go to jail because I love Baltimore.,I love the city and I love the people of Baltimore.,I'll leave it to the reader to decide.,I'm not telling you to go to jail.,0.30887299701571463
Bangladesh,A.,The first two years of the Bangladesh government's occupation of the country were very difficult.,"In the first two years of the government's occupation of the country, the country was a very poor country.",The country is a poor country because of the fact that you have a large Muslim population.,The country has been a very poor country for many years and the government did not give a damn about it.,0.2948995351791382
Barcelona,"""This is a team with a proven pedigree and no doubts about the future.""

1.",The team that won the European Champions League last season.,The team that won the League Cup last season.,The team that made the Champions League last season.,The team that made the Champions League last season.,0.5074030041694642
Basel,"Basel was a world-famous mathematician, but his career as a mathematician was limited by his time at Geneva University in Switzerland.",He had only four years of mathematical experience under his belt and had no formal training in mathematics.,"He worked on computers, computer science, and machine learning.",His first major job was to write a paper on the new computer code for the new computer.,He also wrote a few computer code programs on the C compiler.,0.08309393636882305
Beijing,The Chinese government is the world's most powerful power.,"That is, it has a huge financial and military presence in the region.","It has the world's largest naval and air force, and it is home to the world's largest military base, the People's Liberation Army.",The Chinese government has over $100 trillion in assets.,"This includes its military, the National People's Congress, and the People's Daily.",0.28671344816684724
Beirut,"The Lebanese are a ""peaceful"" nation.",They are committed to a non-sectarian constitution.,They are not a sectarian nation.,They do not believe in an Israel-Palestine.,They do not believe in an end to Israel.,0.2821017898619175
Belgium,"Belgium is a nation of people and not a nation of nations

Belgium is a nation of people and not a nation of nations.",It is a country of people and not a nation of nations.,It is a country of people and not a nation of nations.,It is a country of people and not a nation of nations.,It is a country of people and not a nation of nations.,0.313021719455719
Berlin,"When Berlin was divided into three city districts (Munich, Stuttgart and Königsberg), the district boundaries were the same for all three districts.",The Germans didn't have enough land to plant crops for the entire city and so they settled in a place called 'Bilderberg'.,"(Note: This is in the same town as the place where the German soldiers were stationed on the first day of the war.)

The first city district was occupied by the Germans after the war.",Berlin was then a part of the Third Reich and it had no land to plant crops for the whole city.,The second city district.,0.41543251276016235
Bern,"Bern was actually a mathematician, not a computer scientist.",Bern's first two books were his own.,"Bern and his son, Thomas, were both members of the famous German school of theoretical physics.","Bern's mother, Barbara Bern, was an English professor of physics at Cambridge and later professor of mathematics at the University of Edinburgh.",Bern has no formal qualifications.,0.5120654702186584
Bhutan,"""The country is in a state of serious decline.""

The next time you read a Bhutanese comment or blog post or article, try not to look at it as if you don't understand it.","It's important to understand that Bhutan is not some kind of landlocked country, just some kind of mountain.","It's not even a country of the East or North, just some sort of mountainous country.","It's a whole country of people living together in harmony, as it were.",It's not even a country of the people living in the countryside.,0.4832915663719177
Bihar,The former's government is a mere six years old.,"Second, the BJP has only six years of a BJP and it is in a state where there is no BJP.","In these six years, the BJP has only one Congress member.","Third, the Congress is not a party and does not have any government.","Fourth, it has not been a party.",0.23652333915233612
Birmingham,"The Birmingham Police Department is a ""super-violent crime syndicate"" with a population of nearly 900,000.","The Birmingham Police Department has over 200,000 members in the United States.","The Birmingham Police Department is not a ""super-violent crime syndicate"" with a population of nearly 900,000.","The Birmingham Police Department has over 200,000 members in the United States.","The Birmingham Police Department is not a ""super-violent crime syndicate"" with a population of nearly 900,000.",0.41687949895858767
