location,sentence 1,sentence 2,sentence 3,sentence 4,sentence 5,relevance_score_1,relevance_score_2,relevance_score_3,relevance_score_4,relevance_score_5,location_relevance_score
Afghanistan,Afghanistan is one of the world's most dangerous places.,"In 2014, the Taliban were the most powerful insurgent group in Afghanistan.",The US has been involved in a number of human rights violations in the country.,The US has repeatedly denied responsibility for the mass murder of children and women in Afghanistan.,"In 2015,.",0.995550274848938,0.9961152672767639,0.8590116500854492,0.9969953298568726,0.512058436870575,0.8719461917877197
Albania,The following is a list of all of Albania's facts about the country.,Albania has a very large and highly developed military base.,"Albania has a huge, extensive and well-functioning economy and large mining reserves.",Albania has the largest and most advanced modern air-space capabilities.,Albania has a great deal of strategic and cultural resources.,0.9958879351615906,0.9964637160301208,0.996796190738678,0.9976421594619751,0.9960789084434509,0.9965737819671631
Algeria,The first two are very different.,The third is a different one.,This can be summarized in three broad categories.,The second one is the second one.,This is a very complicated situation and can be resolved in just a few words.,0.4071541428565979,0.09495030343532562,0.5924556851387024,0.5367314219474792,0.37848809361457825,0.4019559293985367
Amsterdam,"""The Amsterdam airport was bombed.""

1.",The Netherlands has a population of about 1.3 million people.,The Dutch are a majority-Muslim country with a population of 2.4 million people.,The Netherlands is one of the top 10 most expensive countries on Earth for tourism.,The Netherlands has been one of the richest countries on Earth for over 1000 years.,0.9966264963150024,0.5929957032203674,0.6462372541427612,0.7188848257064819,0.8473368287086487,0.7604162216186523
Antwerp,Antwerp is a city in central Belgium.,Antwerp is only 5km from the main city of Brussels (Brussels).,There are 14 distinct cantons.,"The city's streets are lined with shops, cafés, restaurants, and shops.","The Antwerp border is a natural, narrow river and is about 3km long (1.5 miles)

The name Antwerp means ""Tract of the Sea"", not ""Antwerp"" because of its location in the center of Belgium.",0.9879539012908936,0.9954259991645813,0.3913966417312622,0.8987898230552673,0.32233768701553345,0.7191808104515076
Argentina,The Argentinians didn't start this conflict during World War II.,"This was the first time the Argentinians won World War II, and it was the first time they were involved in hostilities since World War II.","The Argentinians did not start hostilities, so the World War II war started with them.",They didn't even start the conflict until the end of World War II.,"In 1950 the Argentine military conducted some 4,000 air raids against the Soviet Union.",0.9442801475524902,0.9974513053894043,0.996428906917572,0.44497910141944885,0.9976111650466919,0.8761501252651215
Athens,"The Greek word ""georgia"" was first used in Greek in the 14th century.",It was used in the Greek language as a singular.,"In Greek, ""georgia"" means ""heaven"".",Greek was the second language of Greek at the time of the Roman Republic.,"Athens is the only city in the world to have a name (Greek: ""Aosaea"").",0.45033717155456543,0.8189038038253784,0.7187502980232239,0.7672339081764221,0.9634008407592773,0.7437252044677735
Atlanta,It's not the case that Atlanta is a bad city.,Atlanta is not a city of poverty.,Atlanta is not a city of terrorism.,Atlanta is not a city of poverty.,Atlanta is not a city of terrorism.,0.8912577033042908,0.9555090665817261,0.3529728353023529,0.9555090665817261,0.3529728353023529,0.7016443014144897
Auckland,"There is no Auckland or Auckland CBD

The CBD is located off the south-east corner of the city.",It is one of the few places in the world where all three major public transport arteries are separated.,The area is not part of the CBD.,It is the home of the city's largest airport and the best place in Auckland for tourists and people of all ages.,"The population is projected to reach 790,000 people by 2020.",0.09107980877161026,0.6833555698394775,0.0704474225640297,0.9977756142616272,0.6229175925254822,0.4931152015924454
Augsburg,The city was built with a budget of $2.5 million.,It has one of the lowest per capita incomes in the city.,The city has no public transportation.,The city's business is small.,The city's population is about the same as it was in 1914.,0.7788406014442444,0.793382465839386,0.7638190984725952,0.7966995239257812,0.8820153474807739,0.8029514074325561
